 (Half Day),（半天）
Select the Invoice against which you want to allocate payments.,10 。添加或减去：无论你想添加或扣除的税款。
Select the period when the invoice will be generated automatically,当选择发票会自动生成期间
Select the relevant company name if you have multiple companies,选择相关的公司名称，如果您有多个公司
Select the relevant company name if you have multiple companies.,如果您有多个公司选择相关的公司名称。
Select who you want to send this newsletter to,选择您想要这份电子报发送给谁
Select your home country and check the timezone and currency.,选择您的国家和检查时区和货币。
"Selecting ""Yes"" will allow this item to appear in Purchase Order , Purchase Receipt.",选择“是”将允许这个项目出现在采购订单，采购入库单。
"Selecting ""Yes"" will allow this item to figure in Sales Order, Delivery Note",选择“是”将允许这资料图在销售订单，送货单
"Selecting ""Yes"" will allow you to create Bill of Material showing raw material and operational costs incurred to manufacture this item.",选择“是”将允许您创建物料清单，显示原材料和产生制造这个项目的运营成本。
"Selecting ""Yes"" will allow you to make a Production Order for this item.",选择“是”将允许你做一个生产订单为这个项目。
"Selecting ""Yes"" will give a unique identity to each entity of this item which can be viewed in the Serial No master.",选择“Yes”将提供一个独特的身份，以这个项目的每个实体可在序列号主观看。
Selling,销售
Selling Settings,销售设置
Send,发送
Send Autoreply,发送自动回复
Send Bulk SMS to Leads / Contacts,发送大量短信信息/联系我们
Send Email,发送电​​子邮件
Send From,从发送
Send Notifications To,发送通知给
Send Now,立即发送
Send Print in Body and Attachment,发送打印的正文和附件
Send SMS,发送短信
Send To,发送到
Send To Type,发送到输入
Send automatic emails to Contacts on Submitting transactions.,自动发送电子邮件到上提交事务联系。
Send mass SMS to your contacts,发送群发短信到您的联系人
Send regular summary reports via Email.,通过电子邮件发送定期汇总报告。
Send to this list,发送到这个列表
Sender,寄件人
Sender Name,发件人名称
Sent,发送
Sent Mail,发送邮件
Sent On,在发送
Sent Quotation,发送报价
Sent or Received,发送或接收
Separate production order will be created for each finished good item.,独立的生产订单将每个成品项目被创建。
Serial No,序列号
Serial No / Batch,序列号/批次
Serial No Details,序列号信息
Serial No Service Contract Expiry,序号服务合同到​​期
Serial No Status,序列号状态
Serial No Warranty Expiry,序列号保修到期
Serial No created,创建序列号
Serial No does not belong to Item,序列号不属于项目
Serial No must exist to transfer out.,序列号必须存在转让出去。
Serial No qty cannot be a fraction,序号数量不能是分数
Serial No status must be 'Available' to Deliver,序列号状态必须为“有空”提供
Serial Nos do not match with qty,序列号不匹配数量
Serial Number Series,序列号系列
Serialized Item: ',序列化的项目：&#39;
Series,系列
Series List for this Transaction,系列对表本交易
Service Address,服务地址
Services,服务
Session Expiry,会话过期
Session Expiry in Hours e.g. 06:00,会话过期的时间，例如06:00
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,设置这个领地项目组间的预算。您还可以包括季节性通过设置分发。
Set Login and Password if authentication is required.,如果需要身份验证设置登录名和密码。
Set allocated amount against each Payment Entry and click 'Allocate'.,是不允许的。
Set as Default,设置为默认
Set as Lost,设为失落
Set prefix for numbering series on your transactions,为你的交易编号序列设置的前缀
Set targets Item Group-wise for this Sales Person.,设定目标项目组间的这种销售人员。
"Set your outgoing mail SMTP settings here. All system generated notifications, emails will go from this mail server. If you are not sure, leave this blank to use ERPNext servers (emails will still be sent from your email id) or contact your email provider.",这里设置你的外发邮件的SMTP设置。所有生成的系统通知，电子邮件会从这个邮件服务器。如果你不知道，离开这个空白使用ERPNext服务器（邮件仍然会从您的电子邮件ID发送）或联系您的电子邮件提供商。
Setting Account Type helps in selecting this Account in transactions.,设置帐户类型有助于在交易中选择该帐户。
Setting up...,设置...
Settings,设置
Settings for Accounts,设置帐户
Settings for Buying Module,设置购买模块
Settings for Selling Module,设置销售模块
Settings for Stock Module,设置库存模块
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",设置从一个邮箱，例如“jobs@example.com”解压求职者
Setup,设置
Setup Already Complete!!,安装已经完成！
Setup Complete!,设置完成！
Setup Completed,安装完成
Setup Series,设置系列
Setup of Shopping Cart.,设置的购物车。
Setup to pull emails from support email account,安装程序从支持的电子邮件帐户的邮件拉
Share,共享
Share With,分享
Shipments to customers.,发货给客户。
Shipping,航运
Shipping Account,送货账户
Shipping Address,送货地址
Shipping Amount,航运量
Shipping Rule,送货规则
Shipping Rule Condition,送货规则条件
Shipping Rule Conditions,送货规则条件
Shipping Rule Label,送货规则标签
Shipping Rules,送货规则
Shop,店
Shopping Cart,购物车
Shopping Cart Price List,购物车价格表
Shopping Cart Price Lists,购物车价目表
Shopping Cart Settings,购物车设置
Shopping Cart Shipping Rule,购物车运费规则
Shopping Cart Shipping Rules,购物车运费规则
Shopping Cart Taxes and Charges Master,购物车税收和收费硕士
Shopping Cart Taxes and Charges Masters,购物车税收和收费硕士
Short biography for website and other publications.,短的传记的网站和其他出版物。
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",显示“有货”或“无货”的基础上股票在这个仓库有。
Show / Hide Features,显示/隐藏功能
Show / Hide Modules,显示/隐藏模块
Show In Website,显示在网站
Show a slideshow at the top of the page,显示幻灯片在页面顶部
Show in Website,显示在网站
Show this slideshow at the top of the page,这显示在幻灯片页面顶部
Signature,签名
Signature to be appended at the end of every email,签名在每封电子邮件的末尾追加
Single,单
Single unit of an Item.,该产品的一个单元。
Sit tight while your system is being setup. This may take a few moments.,稳坐在您的系统正在安装。这可能需要一些时间。
Slideshow,连续播放
"Sorry! You cannot change company's default currency, because there are existing transactions against it. You will need to cancel those transactions if you want to change the default currency.",对不起！你不能改变公司的预设货币，因为有现有的交易反对。您将需要取消的交易，如果你想改变默认货币。
"Sorry, Serial Nos cannot be merged",对不起，序列号无法合并
"Sorry, companies cannot be merged",对不起，企业不能合并
Source,源
Source Warehouse,源代码仓库
Source and Target Warehouse cannot be same,源和目标仓库不能相同
Spartan,斯巴达
Special Characters,特殊字符
Special Characters ,特殊字符
Specification Details,详细规格
Specify Exchange Rate to convert one currency into another,指定的汇率将一种货币兑换成另一种
"Specify a list of Territories, for which, this Price List is valid",指定领土的名单，为此，本价格表是有效的
"Specify a list of Territories, for which, this Shipping Rule is valid",新界指定一个列表，其中，该运费规则是有效的
"Specify a list of Territories, for which, this Taxes Master is valid",新界指定一个列表，其中，该税金法师是有效的
Specify conditions to calculate shipping amount,指定条件计算运输量
"Specify the operations, operating cost and give a unique Operation no to your operations.",与全球默认值
Split Delivery Note into packages.,分裂送货单成包。
Standard,标准
Standard Rate,标准房价
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.",
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.",
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.",
Start,开始
Start Date,开始日期
Start date of current invoice's period,启动电流发票的日期内
Starting up...,启动...
State,态
Static Parameters,静态参数
Status,状态
Status must be one of ,状态必须为之一
Status should be Submitted,状态应提交
Statutory info and other general information about your Supplier,法定的信息和你的供应商等一般资料
Stock,股票
Stock Adjustment Account,库存调整账户
Stock Ageing,股票老龄化
Stock Analytics,股票分析
Stock Balance,库存余额
Stock Entries already created for Production Order ,库存项目已为生产订单创建
Stock Entry,股票入门
Stock Entry Detail,股票入门详情
Stock Frozen Upto,股票冻结到...为止
Stock Ledger,库存总帐
Stock Ledger Entry,库存总帐条目
Stock Level,库存水平
Stock Projected Qty,此货币被禁用。允许使用的交易
Stock Qty,库存数量
Stock Queue (FIFO),股票队列（FIFO）
Stock Received But Not Billed,库存接收，但不标榜
Stock Reconcilation Data,股票Reconcilation数据
Stock Reconcilation Template,股票Reconcilation模板
Stock Reconciliation,库存对账
"Stock Reconciliation can be used to update the stock on a particular date, ",库存调节可用于更新在某一特定日期的股票，
Stock Settings,股票设置
Stock UOM,库存计量单位
Stock UOM Replace Utility,库存计量单位更换工具
Stock Uom,库存计量单位
Stock Value,股票价值
Stock Value Difference,股票价值差异
Stock transactions exist against warehouse ,股票交易针对仓库存在
Stop,停止
Stop Birthday Reminders,停止生日提醒
Stop Material Request,停止材料要求
Stop users from making Leave Applications on following days.,作出许可申请在随后的日子里阻止用户。
Stop!,住手！
Stopped,停止
Structure cost centers for budgeting.,对预算编制结构成本中心。
Structure of books of accounts.,的会计账簿结构。
"Sub-currency. For e.g. ""Cent""",子货币。对于如“美分”
Subcontract,转包
Subject,主题
Submit Salary Slip,提交工资单
Submit all salary slips for the above selected criteria,提交所有工资单的上面选择标准
Submit this Production Order for further processing.,提交此生产订单进行进一步的处理。
Submitted,提交
Subsidiary,副
Successful: ,成功：
Suggestion,建议
Suggestions,建议
Sunday,星期天
Supplier,提供者
Supplier (Payable) Account,供应商（应付）帐
Supplier (vendor) name as entered in supplier master,供应商（供应商）的名称在供应商主进入
Supplier Account,供应商帐户
Supplier Account Head,供应商帐户头
Supplier Address,供应商地址
Supplier Addresses And Contacts,供应商的地址和联系方式
Supplier Addresses and Contacts,供应商的地址和联系方式
Supplier Details,供应商详细信息
Supplier Intro,供应商介绍
Supplier Invoice Date,供应商发票日期
Supplier Invoice No,供应商发票号码
Supplier Name,供应商名称
Supplier Naming By,供应商通过命名
Supplier Part Number,供应商零件编号
Supplier Quotation,供应商报价
Supplier Quotation Item,供应商报价项目
Supplier Reference,信用参考
Supplier Shipment Date,供应商出货日期
Supplier Shipment No,供应商出货无
Supplier Type,供应商类型
Supplier Type / Supplier,供应商类型/供应商
Supplier Warehouse,供应商仓库
Supplier Warehouse mandatory subcontracted purchase receipt,供应商仓库强制性分包购买收据
Supplier classification.,供应商分类。
Supplier database.,供应商数据库。
Supplier of Goods or Services.,供应商的商品或服务。
Supplier warehouse where you have issued raw materials for sub - contracting,供应商的仓库，你已发出原材料子 - 承包
Supplier-Wise Sales Analytics,可在首页所有像货币，转换率，总进口，进口总计进口等相关领域
Support,支持
Support Analtyics,支持Analtyics
Support Analytics,支持Analytics（分析）
Support Email,电子邮件支持
Support Email Settings,支持电子邮件设置
Support Password,支持密码
Support Ticket,支持票
Support queries from customers.,客户支持查询。
Symbol,符号
Sync Support Mails,同步支持邮件
Sync with Dropbox,同步与Dropbox
Sync with Google Drive,同步与谷歌驱动器
System Administration,系统管理
System Scheduler Errors,系统调度错误
System Settings,系统设置
"System User (login) ID. If set, it will become default for all HR forms.",系统用户（登录）的标识。如果设置，这将成为默认的所有人力资源的形式。
System for managing Backups,系统管理备份
System generated mails will be sent from this email id.,系统生成的邮件将被从这个电子邮件ID发送。
TL-,TL-
TLB-,TLB-
Table for Item that will be shown in Web Site,表将在网站被显示项目
Target  Amount,目标金额
Target Detail,目标详细信息
Target Details,目标详细信息
Target Details1,目标点评详情
Target Distribution,目标分布
Target On,目标在
Target Qty,目标数量
Target Warehouse,目标仓库
Task,任务
Task Details,任务详细信息
Tasks,根据发票日期付款周期
Tax,税
Tax Accounts,税收占
Tax Calculation,计税
Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items,税务类别不能为'估值'或'估值及总，因为所有的项目都是非库存产品
Tax Master,税务硕士
Tax Rate,税率
Tax Template for Purchase,对于购置税模板
Tax Template for Sales,对于销售税模板
Tax and other salary deductions.,税务及其他薪金中扣除。
"Tax detail table fetched from item master as a string and stored in this field.
Used for Taxes and Charges",
Taxable,应课税
Taxes,税
Taxes and Charges,税收和收费
Taxes and Charges Added,税费上架
Taxes and Charges Added (Company Currency),税收和收费上架（公司货币）
Taxes and Charges Calculation,税费计算
Taxes and Charges Deducted,税收和费用扣除
Taxes and Charges Deducted (Company Currency),税收和扣除（公司货币）
Taxes and Charges Total,税费总计
Taxes and Charges Total (Company Currency),营业税金及费用合计（公司货币）
Template for employee performance appraisals.,模板员工绩效考核。
Template of terms or contract.,模板条款或合同。
Term Details,长期详情
Terms,条款
Terms and Conditions,条款和条件
Terms and Conditions Content,条款及细则内容
Terms and Conditions Details,条款及细则详情
Terms and Conditions Template,条款及细则范本
Terms and Conditions1,条款及条件1
Terretory,Terretory
Territory,领土
Territory / Customer,区域/客户
Territory Manager,区域经理
Territory Name,地区名称
Territory Target Variance (Item Group-Wise),境内目标方差（项目组明智）
Territory Targets,境内目标
Test,测试
Test Email Id,测试电子邮件Id
Test the Newsletter,测试通讯
The BOM which will be replaced,这将被替换的物料清单
The First User: You,第一个用户：您
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",代表包装的项目。该项目必须有“是股票项目”为“否”和“是销售项目”为“是”
The Organization,本组织
"The account head under Liability, in which Profit/Loss will be booked",根据责任账号头，其中利润/亏损将被黄牌警告
"The date on which next invoice will be generated. It is generated on submit.
",
The date on which recurring invoice will be stop,在其经常性发票将被停止日期
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ",这个月的日子，汽车发票将会产生如05，28等
The day(s) on which you are applying for leave coincide with holiday(s). You need not apply for leave.,**预算分配**可以帮助你发布你的预算横跨个月，如果你有季节性因素在您的业务。
The first Leave Approver in the list will be set as the default Leave Approver,该列表中的第一个休假审批将被设置为默认请假审批
The first user will become the System Manager (you can change that later).,第一个用户将成为系统管理器（您可以在以后更改）。
The gross weight of the package. Usually net weight + packaging material weight. (for print),包的总重量。通常净重+包装材料的重量。 （用于打印）
The name of your company for which you are setting up this system.,您的公司要为其设立这个系统的名称。
The net weight of this package. (calculated automatically as sum of net weight of items),净重这个包。 （当项目的净重量总和自动计算）
The new BOM after replacement,更换后的新物料清单
The rate at which Bill Currency is converted into company's base currency,在该条例草案的货币转换成公司的基础货币的比率
The unique id for tracking all recurring invoices. It is generated on submit.,唯一ID来跟踪所有的经常性发票。它是在提交生成的。
There is nothing to edit.,对于如1美元= 100美分
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,有一个错误。一个可能的原因可能是因为您没有保存的形式。请联系support@erpnext.com如果问题仍然存在。
There were errors.,有错误。
This Cost Center is a,这成本中心是一个
This Currency is disabled. Enable to use in transactions,公司在以下仓库失踪
This ERPNext subscription,这ERPNext订阅
This Leave Application is pending approval. Only the Leave Apporver can update status.,这个假期申请正在等待批准。只有离开Apporver可以更新状态。
This Time Log Batch has been billed.,此时日志批量一直标榜。
This Time Log Batch has been cancelled.,此时日志批次已被取消。
This Time Log conflicts with,这个时间日志与冲突
This is a root account and cannot be edited.,这是一个root帐户，不能被编辑。
This is a root customer group and cannot be edited.,ERPNext是一个开源的基于Web的ERP系统通过网络注技术私人有限公司向提供集成的工具，在一个小的组织管理大多数进程。有关Web注释，或购买托管楝更多信息，请访问
This is a root item group and cannot be edited.,请先输入项目
This is a root sales person and cannot be edited.,您可以通过选择备份频率启动和\
This is a root territory and cannot be edited.,集团或Ledger ，借方或贷方，是特等帐户
This is the number of the last created transaction with this prefix,这就是以这个前缀的最后一个创建的事务数
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,此工具可帮助您更新或修复系统的数量和股票估值。它通常被用于同步系统值和实际存在于您的仓库。
This will be used for setting rule in HR module,这将用于在人力资源模块的设置规则
Thread HTML,主题HTML
Thursday,星期四
Time Log,时间日志
Time Log Batch,时间日志批
Time Log Batch Detail,时间日志批量详情
Time Log Batch Details,时间日志批量详情
Time Log Batch status must be 'Submitted',时间日志批次状态必须是&#39;提交&#39;
Time Log for tasks.,时间日志中的任务。
Time Log must have status 'Submitted',时间日志的状态必须为“已提交”
Time Zone,时区
Time Zones,时区
Time and Budget,时间和预算
Time at which items were delivered from warehouse,时间在哪个项目是从仓库运送
Time at which materials were received,收到材料在哪个时间
Title,标题
To,至
To Currency,以货币
To Date,至今
To Date should be same as From Date for Half Day leave,日期应该是一样的起始日期为半天假
To Discuss,为了讨论
To Do List,待办事项列表
To Package No.,以包号
To Pay,支付方式
To Produce,以生产
To Time,要时间
To Value,To值
To Warehouse,到仓库
"To add child nodes, explore tree and click on the node under which you want to add more nodes.",要添加子节点，探索树，然后单击要在其中添加更多节点的节点上。
"To assign this issue, use the ""Assign"" button in the sidebar.",要分配这个问题，请使用“分配”按钮，在侧边栏。
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.",从您的接收邮件自动创建支持票，在此设置您的POP3设置。你必须非常创建一个单独的电子邮件ID为ERP系统，使所有电子邮件都将来自该邮件ID被同步到系统中。如果您不能确定，请联系您的电子邮件提供商。
To create a Bank Account:,要创建一个银行帐号：
To create a Tax Account:,要创建一个纳税帐户：
"To create an Account Head under a different company, select the company and save customer.",要创建一个帐户头在不同的公司，选择该公司，并保存客户。
To date cannot be before from date,无效的主名称
To enable <b>Point of Sale</b> features,为了使<b>销售点</b>功能
To enable <b>Point of Sale</b> view,为了使<b>销售点</b>看法
To get Item Group in details table,为了让项目组在详细信息表
"To merge, following properties must be same for both items",若要合并，以下属性必须为这两个项目是相同的
"To report an issue, go to ",要报告问题，请至
"To set this Fiscal Year as Default, click on 'Set as Default'",要设置这个财政年度为默认值，点击“设为默认”
To track any installation or commissioning related work after sales,跟踪销售后的任何安装或调试相关工作
"To track brand name in the following documents<br>
Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No",
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,在基于其序列号的销售和采购文件跟踪的项目。这也可以用来跟踪商品的保修细节。
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,为了跟踪与批次号在销售和采购文件的项目<br> <b>首选行业：化工等</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,要使用条形码跟踪项目。您将能够通过扫描物品条码，进入交货单和销售发票的项目。
Tools,工具
Top,顶部
Total,总
Total (sum of) points distribution for all goals should be 100.,总计（总和）点的分布对所有的目标应该是100。
Total Advance,总垫款
Total Amount,总金额
Total Amount To Pay,支付总计
Total Amount in Words,总金额词
Total Billing This Year: ,总帐单今年：
Total Claimed Amount,总索赔额
Total Commission,总委员会
Total Cost,总成本
Total Credit,总积分
Total Debit,总借记
Total Deduction,扣除总额
Total Earning,总盈利
Total Experience,总经验
Total Hours,总时数
Total Hours (Expected),总时数（预期）
Total Invoiced Amount,发票总金额
Total Leave Days,总休假天数
Total Leaves Allocated,分配的总叶
Total Manufactured Qty can not be greater than Planned qty to manufacture,总计制造数量不能大于计划数量制造
Total Operating Cost,总营运成本
Total Points,总得分
Total Raw Material Cost,原材料成本总额
Total Sanctioned Amount,总被制裁金额
Total Score (Out of 5),总分（满分5分）
Total Tax (Company Currency),总税（公司货币）
Total Taxes and Charges,总营业税金及费用
Total Taxes and Charges (Company Currency),总税费和费用（公司货币）
Total Working Days In The Month,总工作日的月份
Total amount of invoices received from suppliers during the digest period,的过程中消化期间向供应商收取的发票总金额
Total amount of invoices sent to the customer during the digest period,的过程中消化期间发送给客户的发票总金额
Total in words,总字
Total production order qty for item,总生产量的项目
Totals,总计
Track separate Income and Expense for product verticals or divisions.,跟踪单独的收入和支出进行产品垂直或部门。
Track this Delivery Note against any Project,跟踪此送货单反对任何项目
Track this Sales Order against any Project,跟踪对任何项目这个销售订单
Transaction,交易
Transaction Date,交易日期
Transaction not allowed against stopped Production Order,交易不反对停止生产订单允许
Transfer,转让
Transfer Material,转印材料
Transfer Raw Materials,转移原材料
Transferred Qty,转让数量
Transporter Info,转运信息
Transporter Name,转运名称
Transporter lorry number,转运货车数量
Trash Reason,垃圾桶原因
Tree Type,树类型
Tree of item classification,项目分类树
Trial Balance,试算表
Tuesday,星期二
Type,类型
Type of document to rename.,的文件类型进行重命名。
Type of employment master.,就业主人的类型。
"Type of leaves like casual, sick etc.",叶似漫不经心，生病等类型
Types of Expense Claim.,报销的类型。
Types of activities for Time Sheets,活动的考勤表类型
UOM,计量单位
UOM Conversion Detail,计量单位换算详细
UOM Conversion Details,计量单位换算详情
UOM Conversion Factor,计量单位换算系数
UOM Conversion Factor is mandatory,计量单位换算系数是强制性的
UOM Name,计量单位名称
UOM Replace Utility,计量单位更换工具
Under AMC,在AMC
Under Graduate,根据研究生
Under Warranty,在保修期
Unit of Measure,计量单位
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",这资料（如公斤，单位，不，一对）的测量单位。
Units/Hour,单位/小时
Units/Shifts,单位/位移
Unmatched Amount,无与伦比的金额
Unpaid,未付
Unscheduled,计划外
Unstop,Unstop
Unstop Material Request,Unstop材料要求
Unstop Purchase Order,如果销售BOM定义，该包的实际BOM显示为表。
Unsubscribed,退订
Update,更新
Update Clearance Date,更新日期间隙
Update Cost,更新成本
Update Finished Goods,更新成品
Update Landed Cost,更新到岸成本
Update Numbering Series,更新编号系列
Update Series,更新系列
Update Series Number,更新序列号
Update Stock,库存更新
Update Stock should be checked.,更新库存应该进行检查。
"Update allocated amount in the above table and then click ""Allocate"" button",更新量分配在上表中，然后单击“分配”按钮
Update bank payment dates with journals.,更新与期刊银行付款日期。
Update clearance date of Journal Entries marked as 'Bank Vouchers',你不能同时输入送货单号及销售发票编号请输入任何一个。
Updated,更新
Updated Birthday Reminders,更新生日提醒
Upload Attendance,上传出席
Upload Backups to Dropbox,上传备份到Dropbox
Upload Backups to Google Drive,上传备份到谷歌驱动器
Upload HTML,上传HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,上传一个csv文件有两列：旧名称和新名称。最大500行。
Upload attendance from a .csv file,从。csv文件上传考勤
Upload stock balance via csv.,通过CSV上传库存余额。
Upload your letter head and logo - you can edit them later.,上传你的信头和标志 - 你可以在以后对其进行编辑。
Uploaded File Attachments,上传文件附件
Upper Income,高收入
Urgent,急
Use Multi-Level BOM,采用多级物料清单
Use SSL,使用SSL
Use TLS,使用TLS
User,用户
User ID,用户ID
User Name,用户名
User Properties,用户属性
User Remark,用户备注
User Remark will be added to Auto Remark,用户备注将被添加到自动注
User Tags,用户标签
User must always select,用户必须始终选择
User settings for Point-of-sale (POS),用户设置的销售点终端（POS）
Username,用户名
Users and Permissions,用户和权限
Users who can approve a specific employee's leave applications,用户谁可以批准特定员工的休假申请
Users with this role are allowed to create / modify accounting entry before frozen date,具有此角色的用户可以创建/修改冻结日期前会计分录
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,具有此角色的用户可以设置冻结帐户，并创建/修改对冻结账户的会计分录
Utilities,公用事业
Utility,效用
Valid For Territories,适用于新界
Valid Upto,到...为止有效
Valid for Buying or Selling?,有效的买入或卖出？
Valid for Territories,适用于新界
Validate,验证
Valuation,计价
Valuation Method,估值方法
Valuation Rate,估值率
Valuation and Total,估值与总
Value,值
Value or Qty,价值或数量
Vehicle Dispatch Date,车辆调度日期
Vehicle No,车辆无
Verified By,认证机构
View,视图
View Ledger,查看总帐
View Now,立即观看
Visit,访问
Visit report for maintenance call.,访问报告维修电话。
Voucher #,＃ ＃＃ ＃，＃＃
Voucher Detail No,券详细说明暂无
Voucher ID,优惠券编号
Voucher No,无凭证
Voucher Type,凭证类型
Voucher Type and Date,凭证类型和日期
WIP Warehouse required before Submit,提交所需WIP仓库前
Walk In,走在
Warehouse,从维护计划
Warehouse ,
Warehouse Contact Info,仓库联系方式
Warehouse Detail,仓库的详细信息
Warehouse Name,仓库名称
Warehouse User,仓库用户
Warehouse Users,仓库用户
Warehouse and Reference,仓库及参考
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,仓库只能通过股票输入/送货单/外购入库单变
Warehouse cannot be changed for Serial No.,仓库不能为序​​列号改变
Warehouse does not belong to company.,仓库不属于公司。
Warehouse is missing in Purchase Order,仓库在采购订单失踪
Warehouse where you are maintaining stock of rejected items,仓库你在哪里维护拒绝的项目库存
Warehouse-Wise Stock Balance,仓库明智的股票结余
Warehouse-wise Item Reorder,仓库明智的项目重新排序
Warehouses,仓库
Warn,警告
Warning: Leave application contains following block dates,警告：离开应用程序包含以下模块日期
Warning: Material Requested Qty is less than Minimum Order Qty,警告：材料要求的数量低于最低起订量
Warranty / AMC Details,保修/ AMC详情
Warranty / AMC Status,保修/ AMC状态
Warranty Expiry Date,保证期到期日
Warranty Period (Days),保修期限（天数）
Warranty Period (in days),保修期限（天数）
Warranty expiry date and maintenance status mismatched,保修期满日期及维护状态不匹配
Website,网站
Website Description,网站简介
Website Item Group,网站项目组
Website Item Groups,网站项目组
Website Settings,网站设置
Website Warehouse,网站仓库
Wednesday,星期三
Weekly,周刊
Weekly Off,每周关闭
Weight UOM,重量计量单位
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",重被提及，\ n请别说“重量计量单位”太
Weightage,权重
Weightage (%),权重（％）
Welcome to ERPNext. Over the next few minutes we will help you setup your ERPNext account. Try and fill in as much information as you have even if it takes a bit longer. It will save you a lot of time later. Good Luck!,欢迎来到ERPNext。在接下来的几分钟里，我们将帮助您设置您的ERPNext帐户。尝试并填写尽可能多的信息，你有，即使它需要多一点的时间。这将节省您大量的时间。祝你好运！
What does it do?,它有什么作用？
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.",当任何选中的交易都是“已提交”，邮件弹出窗口自动打开，在该事务发送电子邮件到相关的“联系”，与交易作为附件。用户可能会或可能不会发送电子邮件。
"When submitted, the system creates difference entries ",提交时，系统会创建差异的条目
Where items are stored.,项目的存储位置。
Where manufacturing operations are carried out.,凡制造业务进行。
Widowed,寡
Will be calculated automatically when you enter the details,当你输入详细信息将自动计算
Will be updated after Sales Invoice is Submitted.,之后销售发票已提交将被更新。
Will be updated when batched.,批处理时将被更新。
